date,ticker,action,quantity,price,currency,dividend_amount,transaction_fee,fx_fee
2025-12-23,RR.L,buy,1044,1150,GBX,,0.0,0.0
2025-12-23,GS,buy,14,910.78,USD,,0.0,0.0
2025-12-23,BAC,buy,210,56.25,USD,,0.0,0.0
2025-12-23,JPM,buy,35,329.17,USD,,0.0,0.0
2025-12-23,AXP,buy,28,383.11,USD,,0.0,0.0
2025-12-23,SNOW,buy,49,221.93,USD,,0.0,0.0
2025-12-23,MSFT,buy,21,488.02,USD,,0.0,0.0
2025-12-23,AMZN,buy,45,232.38,USD,,0.0,0.0
2025-12-23,IAG.L,buy,1673,419.30,GBX,,0.0,0.0
2025-12-23,GOOG,buy,28,315.67,USD,,0.0,0.0
2025-12-23,META,buy,11,667.55,USD,,0.0,0.0
2025-12-23,AAPL,buy,17,273.81,USD,,0.0,0.0
2025-12-23,NVDA,buy,24,188.61,USD,,0.0,0.0
